i_animal_type,i_weight_kg,i_age_years,i_previous_antibiotic_use,i_symptom_duration_days,i_temperature_c,i_severity_score,o_prescribed_dose_mg,o_treatment_duration_days,o_expected_recovery_days
dog,6.2,6.0,0,10,39.2,7.1,97.5,10.0,9.0
dog,12.2,6.1,0,5,37.9,1.6,130.0,3.0,4.0
cat,11.3,7.1,0,8,37.4,6.4,145.0,9.0,6.0
dog,5.3,4.3,0,2,39.3,7.7,91.5,8.0,9.0
cat,8.9,3.3,0,9,39.3,2.9,103.5,6.0,5.0
cat,7.9,2.9,1,6,37.9,8.6,142.0,11.0,6.0
cat,10.1,1.1,1,13,38.2,1.3,127.5,6.0,4.0
cat,3.1,9.1,0,9,37.9,8.6,74.0,12.0,9.0
cat,8.1,2.8,0,2,38.7,5.1,106.5,6.0,5.0
dog,9.2,4.6,1,3,39.7,3.0,127.0,4.0,7.0
dog,0.7,4.4,1,12,39.0,2.2,38.0,6.0,5.0
dog,2.5,5.6,1,8,39.2,9.6,93.0,12.0,11.0
dog,-0.1,6.6,0,1,39.1,1.7,30.0,3.0,6.0
dog,5.2,6.7,1,10,38.5,2.8,86.0,6.0,5.0
cat,8.2,3.8,0,7,39.3,4.1,102.5,6.0,6.0
dog,10.5,4.7,0,7,39.0,6.6,138.0,9.0,8.0
dog,6.2,5.6,1,13,39.5,5.9,111.5,10.0,9.0
cat,10.9,4.5,1,1,38.2,2.1,139.5,3.0,4.0
dog,1.9,8.2,0,9,37.3,3.6,37.0,7.0,4.0
cat,0.9,6.0,1,8,39.2,3.1,44.5,6.0,7.0
dog,5.8,6.5,1,4,38.7,2.9,92.5,4.0,6.0
cat,7.2,6.3,0,10,38.3,4.7,95.5,8.0,6.0
dog,5.9,7.3,1,11,38.3,7.3,115.5,11.0,8.0
dog,-0.2,5.4,0,5,40.3,3.0,30.0,5.0,8.0
cat,5.7,2.4,0,2,38.1,4.3,78.5,5.0,4.0
cat,2.1,5.8,1,13,37.9,4.5,63.5,9.0,5.0
cat,8.0,3.7,0,9,38.6,9.8,129.0,13.0,9.0
cat,7.1,3.9,0,12,39.3,9.6,119.0,14.0,10.0
cat,3.2,6.2,1,12,40.1,8.2,93.0,12.0,12.0
cat,4.5,7.5,1,6,39.0,3.2,81.0,5.0,7.0
cat,2.8,5.0,1,3,37.6,1.6,56.0,3.0,4.0
cat,5.8,5.6,0,12,39.9,3.9,77.5,8.0,8.0
dog,8.9,8.4,0,7,38.5,3.4,106.0,6.0,7.0
dog,3.0,5.5,1,9,37.9,5.6,78.0,9.0,5.0
cat,7.5,10.2,0,3,37.7,8.0,115.0,9.0,9.0
dog,4.4,6.1,1,2,39.1,8.7,107.5,9.0,10.0
dog,3.6,1.5,1,7,38.7,8.6,99.0,11.0,7.0
dog,5.7,6.5,0,7,38.7,4.2,78.0,7.0,7.0
dog,2.9,5.8,1,4,39.4,7.2,85.0,9.0,10.0
cat,4.3,7.6,0,11,37.9,3.8,62.0,7.0,5.0
dog,2.4,6.3,0,9,39.5,1.5,31.5,4.0,6.0
cat,11.9,4.7,1,14,38.1,7.3,175.5,12.0,7.0
dog,6.1,2.6,0,8,40.0,1.1,66.5,4.0,5.0
dog,3.9,4.6,1,13,38.9,4.7,82.5,9.0,6.0
dog,6.6,3.3,0,13,37.9,4.0,86.0,8.0,4.0
cat,5.7,3.8,0,1,37.1,7.2,93.0,8.0,4.0
dog,5.3,6.2,0,1,39.1,7.9,92.5,8.0,10.0
cat,7.8,8.3,1,5,38.2,3.7,116.5,5.0,6.0
dog,8.3,5.8,0,6,38.4,8.3,124.5,10.0,9.0
cat,4.4,2.6,1,3,39.0,3.6,82.0,5.0,5.0
dog,4.3,5.9,0,13,39.2,5.0,68.0,9.0,8.0
cat,5.2,7.4,0,9,39.4,7.5,89.5,10.0,11.0
cat,-0.9,3.8,1,12,37.7,7.2,47.0,11.0,5.0
dog,1.5,4.7,1,10,39.5,9.9,84.5,13.0,11.0
cat,10.1,5.0,1,14,38.1,3.0,136.0,8.0,4.0
dog,10.9,3.4,1,6,36.9,7.0,164.0,9.0,4.0
dog,5.3,6.3,1,4,37.7,6.5,105.5,8.0,6.0
dog,7.7,4.8,0,12,38.7,9.2,123.0,13.0,9.0
dog,6.9,5.8,0,7,37.8,2.4,81.0,5.0,4.0
dog,15.2,3.2,1,8,38.4,7.8,211.0,10.0,7.0
dog,9.4,4.1,0,9,38.7,6.1,124.5,9.0,7.0
dog,5.6,6.4,0,13,38.4,3.5,73.5,8.0,5.0
dog,3.1,4.3,0,11,38.2,5.3,57.5,9.0,5.0
dog,1.2,8.5,1,6,37.6,4.0,52.0,6.0,5.0
dog,6.6,4.2,0,6,38.5,6.2,97.0,8.0,6.0
dog,3.7,5.4,0,8,37.1,9.0,82.0,12.0,6.0
cat,1.7,6.9,0,12,38.0,6.1,47.5,10.0,7.0
cat,4.1,2.2,1,5,37.9,6.7,94.5,8.0,5.0
dog,2.8,1.5,0,14,38.3,5.7,56.5,10.0,4.0
dog,11.1,1.9,0,3,38.4,1.5,118.5,3.0,4.0
dog,8.6,7.5,1,12,39.2,3.1,121.5,7.0,7.0
dog,6.0,3.9,1,3,39.6,5.4,107.0,6.0,8.0
dog,10.4,10.1,0,13,37.7,3.8,123.0,8.0,6.0
dog,6.2,3.9,0,6,39.9,2.6,75.0,5.0,7.0
dog,3.4,5.4,1,2,38.0,5.5,81.5,6.0,6.0
dog,10.6,8.1,1,6,38.6,3.9,145.5,6.0,7.0
cat,7.6,9.0,1,13,38.9,3.3,112.5,8.0,8.0
dog,2.9,9.1,1,6,40.2,5.2,75.0,7.0,12.0
cat,5.4,7.4,1,8,38.1,2.2,85.0,5.0,4.0
dog,3.4,7.0,1,7,37.2,9.3,100.5,12.0,7.0
dog,1.9,6.2,1,8,39.5,8.8,83.0,11.0,11.0
cat,8.8,6.6,0,14,37.9,7.4,125.0,12.0,7.0
dog,11.7,3.9,1,9,38.2,2.0,147.0,5.0,4.0
cat,1.8,3.4,1,6,37.7,8.0,78.0,10.0,6.0
dog,7.7,5.0,0,14,38.2,8.3,118.5,13.0,8.0
dog,4.0,4.7,1,3,37.9,7.9,99.5,9.0,7.0
cat,4.5,4.1,1,10,39.0,2.0,75.0,5.0,4.0
dog,4.2,6.4,0,3,38.6,6.8,76.0,8.0,8.0
cat,3.4,6.9,1,11,38.0,8.5,96.5,12.0,8.0
dog,6.1,5.2,0,12,39.2,6.2,92.0,10.0,8.0
cat,3.5,8.0,0,1,38.7,6.8,69.0,7.0,9.0
cat,6.8,2.7,0,11,37.2,5.1,93.5,9.0,4.0
dog,5.8,4.6,0,13,39.1,5.8,87.0,10.0,8.0
dog,5.3,3.6,1,5,38.6,1.3,79.5,3.0,4.0
cat,3.3,1.3,0,14,39.5,6.8,67.0,11.0,7.0
dog,4.3,4.8,0,4,38.6,1.7,51.5,3.0,4.0
dog,8.3,4.8,1,9,37.9,4.9,127.5,8.0,5.0
dog,7.5,8.0,0,9,38.4,3.6,93.0,7.0,6.0
cat,3.1,6.3,0,14,39.1,5.9,60.5,11.0,8.0
cat,6.3,3.0,0,5,38.0,2.2,74.0,4.0,4.0
cat,8.3,8.7,0,10,38.2,7.2,119.0,11.0,9.0
cat,1.0,7.4,1,4,38.3,8.2,71.0,10.0,9.0
cat,7.6,6.2,0,7,37.7,2.5,88.5,5.0,4.0
cat,4.0,4.5,1,6,38.0,1.9,69.5,4.0,4.0
cat,7.7,3.1,1,4,38.6,2.3,108.5,4.0,4.0
cat,3.7,4.3,0,13,39.3,8.9,81.5,13.0,10.0
cat,0.6,7.2,0,13,38.7,5.8,35.0,10.0,8.0
dog,1.1,8.8,0,10,38.5,5.2,37.0,9.0,8.0
cat,6.1,8.1,0,2,37.9,2.0,71.0,3.0,4.0
dog,6.8,4.0,1,1,39.3,6.8,122.0,7.0,8.0
dog,3.3,2.8,1,4,38.8,8.8,97.0,10.0,8.0
dog,7.9,5.3,1,4,38.0,8.5,141.5,10.0,8.0
cat,1.0,1.5,0,13,39.1,6.6,43.0,11.0,7.0
cat,5.8,5.6,1,1,38.9,1.7,86.5,3.0,5.0
cat,2.4,4.7,0,6,37.9,2.0,34.0,4.0,4.0
cat,4.0,4.1,0,4,38.4,1.4,47.0,3.0,4.0
dog,6.1,1.8,0,1,38.2,3.3,77.5,4.0,4.0
cat,3.4,6.0,0,1,40.3,2.2,45.0,3.0,8.0
cat,4.8,3.9,0,13,38.9,3.3,64.5,8.0,5.0
cat,9.0,2.7,1,1,38.6,4.5,132.5,5.0,5.0
cat,4.3,-0.7,1,8,38.8,9.5,110.5,12.0,7.0
cat,8.5,4.9,0,10,39.5,6.5,117.5,10.0,9.0
dog,2.6,8.5,1,8,38.4,8.5,88.5,11.0,10.0
cat,7.6,8.3,0,2,38.1,7.4,113.0,8.0,9.0
dog,10.3,4.1,0,11,39.1,2.0,113.0,6.0,5.0
cat,-1.4,3.8,0,13,38.4,7.6,30.0,12.0,7.0
dog,3.6,5.9,1,7,37.8,3.5,73.5,6.0,4.0
cat,7.7,3.0,0,14,37.6,6.8,111.0,11.0,4.0
cat,5.4,5.6,0,8,39.6,4.1,74.5,7.0,8.0
dog,7.1,6.5,1,8,38.6,10.0,141.0,13.0,10.0
dog,4.2,7.5,1,11,38.1,3.4,79.0,7.0,5.0
dog,6.3,4.8,1,10,38.3,3.5,100.5,7.0,4.0
cat,5.5,4.6,0,11,39.1,9.4,102.0,13.0,10.0
dog,9.5,3.2,0,13,38.3,1.2,101.0,6.0,4.0
cat,6.8,3.3,1,7,37.5,7.3,124.5,10.0,5.0
cat,7.0,4.5,0,5,38.7,7.5,107.5,9.0,8.0
dog,4.8,5.7,1,1,39.3,8.5,110.5,9.0,10.0
dog,4.5,6.8,1,12,39.3,9.8,114.0,14.0,12.0
cat,4.7,3.4,0,9,38.1,9.8,96.0,13.0,8.0
cat,7.2,8.0,0,13,39.4,1.6,80.0,6.0,7.0
dog,4.7,4.5,1,7,38.6,8.4,109.0,11.0,8.0
dog,6.9,5.0,1,2,39.4,6.8,123.0,7.0,9.0
dog,12.2,3.5,1,6,38.9,6.8,176.0,9.0,7.0
cat,8.6,0.2,1,2,37.4,2.2,117.0,3.0,4.0
cat,5.0,6.8,0,1,39.7,6.9,84.5,7.0,11.0
cat,9.6,6.5,1,14,38.5,9.8,165.0,14.0,10.0
cat,4.8,4.4,1,7,38.9,9.2,114.0,12.0,9.0
cat,-0.1,5.1,1,13,37.6,5.0,44.0,9.0,4.0
cat,3.0,6.0,0,2,38.9,1.4,37.0,3.0,5.0
dog,0.4,1.9,0,13,39.3,4.3,30.0,9.0,6.0
cat,4.9,3.9,1,14,39.9,8.4,111.0,13.0,11.0
cat,6.1,6.6,0,14,39.5,7.3,97.5,12.0,10.0
cat,11.0,2.5,0,2,38.9,5.1,135.5,6.0,6.0
dog,7.0,5.6,0,13,37.4,1.5,77.5,6.0,4.0
cat,5.3,2.3,1,11,38.6,4.8,97.0,8.0,5.0
cat,8.5,5.9,1,5,38.1,5.2,131.0,7.0,6.0
dog,-0.6,4.9,0,14,38.7,9.4,41.0,14.0,9.0
cat,6.7,1.8,1,5,37.6,6.8,121.0,8.0,4.0
cat,8.3,7.3,1,7,38.4,3.8,122.0,6.0,6.0
cat,1.6,3.5,0,1,38.1,5.7,44.5,6.0,5.0
cat,9.4,3.4,0,8,38.1,1.6,102.0,4.0,4.0
cat,7.0,5.4,1,3,38.1,9.8,139.0,11.0,9.0
dog,4.8,7.3,0,4,38.4,4.2,69.0,6.0,6.0
dog,7.9,3.0,1,9,38.7,5.3,125.5,8.0,6.0
dog,12.8,5.1,1,4,36.8,4.2,169.0,6.0,4.0
cat,6.5,5.9,0,10,36.8,7.1,100.5,10.0,5.0
cat,6.7,6.4,1,12,38.3,7.0,122.0,11.0,8.0
cat,4.6,5.4,1,5,38.4,7.4,103.0,9.0,8.0
dog,3.5,4.3,0,7,38.6,3.4,52.0,6.0,5.0
cat,8.5,3.3,0,4,38.0,3.8,104.0,5.0,4.0
cat,3.4,5.2,0,14,38.5,2.1,44.5,7.0,4.0
dog,6.2,2.9,1,1,38.6,6.9,116.5,7.0,6.0
cat,4.6,-0.8,0,9,38.0,1.4,53.0,4.0,4.0
dog,7.4,5.9,0,4,39.2,6.4,106.0,8.0,9.0
dog,7.0,6.8,0,9,38.6,8.8,114.0,12.0,10.0
dog,9.1,0.3,0,6,38.9,9.0,136.0,11.0,7.0
cat,4.5,3.0,1,1,38.5,5.0,90.0,5.0,5.0
cat,5.2,6.2,1,12,40.0,5.1,97.5,9.0,10.0
cat,3.1,9.1,0,3,38.9,1.7,39.5,3.0,7.0
cat,4.7,5.0,1,11,38.2,7.0,102.0,11.0,7.0
cat,7.1,3.5,0,2,39.1,8.4,113.0,9.0,9.0
cat,8.3,4.6,0,9,37.4,3.2,99.0,6.0,4.0
cat,3.2,7.7,1,12,38.6,4.8,76.0,9.0,7.0
dog,8.6,3.7,1,1,38.7,8.5,148.5,9.0,8.0
cat,10.1,3.4,0,13,38.6,8.9,145.5,13.0,8.0
dog,7.2,4.0,0,14,38.3,3.2,88.0,8.0,4.0
cat,11.6,3.1,1,9,37.8,6.0,166.0,9.0,4.0
cat,3.7,5.2,0,9,37.9,2.7,50.5,6.0,4.0
cat,2.3,8.2,1,8,38.6,1.9,52.5,5.0,6.0
dog,0.7,5.6,0,8,37.7,9.2,53.0,12.0,8.0
dog,10.5,4.5,0,11,39.7,8.4,147.0,12.0,11.0
dog,8.0,4.4,1,14,36.7,7.8,139.0,12.0,4.0
dog,5.8,1.9,1,12,38.3,1.4,85.0,5.0,4.0
cat,6.8,6.8,1,1,38.6,8.6,131.0,9.0,10.0
dog,2.6,4.8,1,11,38.9,4.9,70.5,9.0,7.0
cat,13.3,4.6,1,8,37.9,4.1,173.5,7.0,4.0
cat,6.4,11.4,1,10,39.3,5.9,113.5,9.0,11.0
dog,6.3,5.6,1,14,37.5,1.8,92.0,6.0,4.0
dog,8.2,3.5,0,3,38.1,7.8,121.0,9.0,6.0
dog,7.4,4.1,0,11,38.9,6.2,105.0,10.0,7.0
dog,6.7,7.3,0,7,39.2,2.7,80.5,5.0,7.0
dog,3.6,5.2,1,11,37.5,2.7,69.5,6.0,4.0
dog,7.4,2.1,1,1,40.4,2.7,107.5,3.0,7.0
dog,11.6,6.8,1,1,37.9,1.5,143.5,3.0,4.0
dog,10.0,3.7,0,10,37.6,6.3,131.5,10.0,4.0
cat,10.8,8.7,1,13,38.9,8.6,171.0,13.0,11.0
dog,4.5,7.2,1,5,38.3,1.2,71.0,3.0,4.0
dog,3.0,4.1,0,5,38.2,1.4,37.0,3.0,4.0
cat,5.6,7.6,1,8,38.9,6.2,107.0,9.0,9.0
dog,6.2,5.1,0,7,37.4,8.4,104.0,11.0,6.0
cat,9.3,6.7,0,8,37.3,3.9,112.5,7.0,4.0
cat,0.9,6.0,1,6,38.1,4.1,49.5,6.0,5.0
dog,10.6,3.3,1,6,39.3,6.4,158.0,8.0,8.0
cat,5.5,3.7,1,2,38.1,3.5,92.5,4.0,4.0
cat,4.7,7.1,0,6,39.6,1.2,53.0,3.0,7.0
cat,3.0,4.3,0,5,39.3,7.6,68.0,9.0,9.0
cat,1.0,4.2,0,13,38.7,6.6,43.0,11.0,7.0
dog,8.5,3.1,1,3,38.7,6.2,136.0,7.0,6.0
cat,6.2,5.8,1,6,38.7,7.7,120.5,10.0,9.0
dog,2.1,9.1,1,8,38.6,7.1,76.5,10.0,10.0
cat,2.1,2.9,1,9,38.2,2.9,55.5,6.0,4.0
cat,5.0,5.0,0,1,38.3,4.2,71.0,5.0,5.0
cat,11.0,7.8,0,3,37.8,2.1,120.5,3.0,4.0
cat,5.2,4.8,0,3,37.0,2.2,63.0,3.0,4.0
dog,1.5,5.9,0,11,39.3,7.1,50.5,11.0,10.0
dog,5.3,2.9,1,8,38.6,8.7,116.5,11.0,8.0
cat,5.2,5.9,1,1,38.5,9.7,120.5,10.0,10.0
cat,-2.1,4.6,1,5,38.8,6.7,32.5,8.0,8.0
dog,5.8,7.0,0,3,37.9,2.7,71.5,4.0,4.0
cat,5.3,7.4,0,2,37.8,2.0,63.0,3.0,4.0
cat,8.1,10.2,1,8,38.3,8.3,142.5,11.0,11.0
cat,11.5,6.2,1,3,39.5,6.2,166.0,7.0,9.0
dog,9.4,5.7,0,7,37.7,6.6,127.0,9.0,6.0
dog,5.2,5.4,1,12,36.7,8.0,112.0,12.0,5.0
dog,2.7,4.3,0,11,38.1,7.3,63.5,11.0,6.0
cat,13.7,5.7,0,1,39.3,8.5,179.5,9.0,10.0
cat,6.2,4.4,0,6,37.3,1.5,69.5,4.0,4.0
dog,6.0,5.3,1,3,37.7,7.7,118.5,9.0,6.0
dog,5.9,7.6,1,8,38.7,8.7,122.5,11.0,10.0
dog,6.6,3.0,0,6,40.3,3.6,84.0,6.0,8.0
dog,5.6,7.3,1,12,37.5,6.8,110.0,11.0,6.0
cat,4.3,7.6,0,2,37.5,3.8,62.0,4.0,4.0
dog,4.4,4.8,0,6,38.7,9.6,92.0,12.0,10.0
cat,5.9,0.8,0,7,39.3,1.3,65.5,4.0,4.0
dog,4.4,3.8,0,5,38.1,6.2,75.0,8.0,5.0
cat,3.9,7.6,1,3,37.4,2.5,71.5,4.0,4.0
dog,6.3,5.0,0,4,38.8,7.4,100.0,9.0,8.0
dog,5.2,3.0,0,4,38.9,2.6,65.0,4.0,4.0
dog,10.5,4.0,1,6,39.7,3.1,140.5,5.0,7.0
dog,-2.0,6.7,0,10,39.0,5.4,30.0,9.0,8.0
cat,9.3,6.1,0,1,39.1,9.2,139.0,10.0,11.0
dog,9.7,4.5,1,11,38.3,2.9,131.5,7.0,4.0
cat,-0.2,4.3,1,4,40.2,2.3,30.0,4.0,7.0
cat,5.0,4.2,1,10,38.2,7.8,109.0,11.0,7.0
cat,4.9,3.2,0,13,38.1,5.5,76.5,10.0,5.0
cat,1.8,8.2,1,4,39.8,9.2,84.0,11.0,13.0
dog,3.7,4.4,1,10,37.5,2.3,68.5,6.0,4.0
cat,2.7,7.4,0,1,37.2,6.8,61.0,7.0,6.0
cat,11.3,8.0,0,9,38.6,3.1,128.5,6.0,6.0
cat,8.8,7.0,0,4,38.5,2.4,100.0,4.0,5.0
dog,9.8,4.1,0,7,38.3,7.2,134.0,10.0,7.0
dog,8.2,5.8,0,12,39.2,6.3,113.5,10.0,9.0
dog,2.6,5.0,1,14,37.9,7.8,85.0,12.0,7.0
dog,4.4,3.2,1,3,38.5,3.8,83.0,5.0,4.0
cat,7.5,5.6,1,10,38.2,5.0,120.0,8.0,6.0
cat,2.3,2.6,0,12,37.9,4.6,46.0,9.0,4.0
dog,8.1,7.4,0,3,38.5,9.9,130.5,11.0,11.0
cat,5.3,4.1,0,14,39.1,3.6,71.0,8.0,6.0
cat,4.9,5.4,1,8,40.0,3.7,87.5,6.0,8.0
cat,8.1,5.6,1,8,38.9,4.2,122.0,7.0,7.0
dog,7.3,4.5,0,11,36.7,6.1,103.5,10.0,4.0
dog,4.9,6.2,1,12,38.5,3.3,85.5,7.0,5.0
cat,9.5,4.1,0,1,38.5,9.2,141.0,10.0,8.0
dog,2.8,6.7,1,10,39.2,3.4,65.0,7.0,7.0
dog,7.8,2.3,1,2,38.6,9.1,143.5,10.0,8.0
dog,7.8,5.3,1,8,39.4,1.9,107.5,5.0,6.0
dog,5.1,8.9,0,1,38.8,6.9,85.5,7.0,10.0
dog,7.0,3.0,1,12,39.6,9.2,136.0,13.0,10.0
cat,2.2,3.6,1,8,38.2,2.5,54.5,5.0,4.0
dog,8.8,6.0,0,8,38.6,9.7,136.5,12.0,10.0
cat,5.4,5.4,1,2,39.1,5.1,99.5,6.0,7.0
cat,4.4,5.7,0,4,38.1,9.5,91.5,11.0,9.0
dog,9.1,6.0,0,6,37.9,7.1,126.5,9.0,7.0
cat,3.9,6.3,0,12,38.1,3.7,57.5,8.0,5.0
cat,1.8,7.2,0,11,38.0,2.7,31.5,6.0,4.0
cat,1.3,5.8,0,9,38.9,3.7,31.5,7.0,6.0
dog,7.8,4.5,1,8,37.2,1.8,107.0,4.0,4.0
dog,2.2,6.3,0,12,37.4,2.3,33.5,6.0,4.0
cat,11.3,8.8,0,8,39.8,1.9,122.5,5.0,8.0
dog,-0.2,4.7,0,7,38.0,4.8,30.0,7.0,5.0
dog,11.1,3.1,0,14,38.6,8.2,152.0,13.0,7.0
dog,6.6,7.2,1,13,37.5,2.3,97.5,7.0,4.0
dog,5.7,4.8,0,9,38.6,2.2,68.0,5.0,4.0
cat,4.4,0.7,1,2,38.0,6.8,98.0,7.0,4.0
cat,7.2,6.7,0,3,37.4,2.8,86.0,4.0,4.0
dog,5.9,3.9,1,10,39.4,1.9,88.5,5.0,5.0
dog,9.3,4.8,0,8,39.3,2.5,105.5,5.0,6.0
cat,6.3,5.7,0,14,38.4,9.3,109.5,14.0,9.0
cat,6.5,5.4,1,6,39.2,8.4,127.0,10.0,10.0
dog,4.9,6.4,0,10,39.8,4.2,70.0,8.0,9.0
cat,5.8,4.1,1,9,39.0,6.9,112.5,10.0,8.0
dog,6.9,6.0,0,10,38.8,5.8,98.0,9.0,8.0
dog,0.9,4.5,1,4,38.6,7.1,64.5,8.0,7.0
cat,2.0,6.5,0,8,39.0,7.1,55.5,10.0,9.0
cat,8.2,6.2,0,10,38.2,6.7,115.5,10.0,7.0
dog,6.5,3.1,1,3,38.3,3.4,102.0,4.0,4.0
dog,5.4,7.2,0,3,38.8,1.4,61.0,3.0,5.0
cat,6.1,3.9,0,8,38.2,5.1,86.5,8.0,5.0
dog,7.0,6.6,0,5,38.2,9.0,115.0,11.0,9.0
cat,4.4,5.7,0,3,38.5,6.1,74.5,7.0,7.0
dog,3.7,8.7,0,10,39.3,8.5,79.5,12.0,12.0
cat,6.6,4.6,0,11,37.7,9.9,115.5,14.0,8.0
cat,3.1,4.3,1,1,39.0,2.5,63.5,3.0,5.0
cat,7.2,5.0,1,3,39.1,7.2,128.0,8.0,9.0
dog,0.9,4.4,1,12,39.1,7.1,64.5,11.0,8.0
dog,9.1,6.6,0,9,37.9,9.8,140.0,13.0,9.0
cat,7.4,1.8,1,5,37.3,9.9,143.5,12.0,5.0
dog,6.8,2.9,0,12,38.9,7.2,104.0,11.0,7.0
cat,8.9,2.9,0,10,38.6,3.2,105.0,7.0,4.0
cat,11.0,6.9,0,2,39.2,8.2,151.0,9.0,11.0
dog,9.0,8.4,0,7,38.0,2.0,100.0,4.0,5.0
dog,0.5,4.8,1,2,39.0,8.0,65.0,9.0,9.0
cat,2.2,4.7,0,4,39.2,9.2,68.0,11.0,10.0
dog,4.1,5.1,1,12,38.4,4.4,83.0,8.0,5.0
dog,6.1,7.3,0,7,38.8,6.7,94.5,9.0,9.0
cat,7.6,3.1,1,4,38.8,4.9,120.5,6.0,6.0
cat,3.8,5.5,1,7,37.9,4.9,82.5,7.0,5.0
dog,6.6,7.0,1,7,38.9,3.8,105.0,6.0,7.0
cat,3.7,6.0,1,1,39.6,7.9,96.5,8.0,11.0
cat,4.2,5.4,1,6,38.5,9.4,109.0,11.0,9.0
dog,1.8,7.0,1,9,37.5,9.5,85.5,12.0,8.0
cat,3.2,-0.4,0,2,38.0,2.6,45.0,3.0,4.0
cat,1.9,6.4,1,14,37.3,8.9,83.5,14.0,7.0
dog,3.1,3.7,0,3,39.4,7.6,69.0,9.0,9.0
dog,9.2,1.3,1,10,39.0,3.3,128.5,7.0,4.0
cat,3.2,6.0,0,5,38.1,1.6,40.0,3.0,4.0
cat,13.9,7.7,1,9,37.5,3.4,176.0,6.0,4.0
dog,7.5,4.7,1,4,37.9,9.2,141.0,11.0,8.0
dog,6.6,6.9,0,1,38.1,6.7,99.5,7.0,7.0
dog,3.4,8.2,1,4,38.6,7.5,91.5,9.0,10.0
dog,8.1,7.6,1,6,38.6,3.3,117.5,5.0,6.0
cat,4.3,8.3,1,5,39.4,7.5,100.5,9.0,11.0
dog,6.4,6.5,0,14,38.0,1.3,70.5,6.0,4.0
dog,13.7,5.2,1,13,37.4,4.4,179.0,9.0,4.0
cat,5.7,1.8,0,1,37.7,6.6,90.0,7.0,4.0
dog,9.4,4.5,1,4,38.5,2.3,125.5,4.0,4.0
cat,3.9,3.3,1,6,38.0,8.4,101.0,10.0,7.0
dog,5.9,9.3,0,13,38.3,3.1,74.5,7.0,6.0
dog,11.3,4.6,1,10,38.2,6.9,167.5,10.0,7.0
dog,4.1,5.2,1,10,39.2,4.6,84.0,8.0,7.0
cat,11.4,6.1,0,14,38.1,6.4,146.0,11.0,7.0
cat,8.1,5.1,1,4,38.2,2.0,111.0,3.0,4.0
dog,4.3,8.4,0,14,39.0,1.2,49.0,6.0,6.0
cat,7.9,3.8,0,9,38.1,9.2,125.0,12.0,8.0
cat,8.9,5.4,0,5,38.8,3.4,106.0,5.0,6.0
cat,7.9,3.5,1,8,38.7,8.4,141.0,11.0,8.0
cat,1.3,2.4,0,9,38.6,10.0,63.0,13.0,8.0
cat,3.8,3.8,0,10,37.7,2.9,52.5,6.0,4.0
cat,5.3,4.9,1,5,39.4,3.4,90.0,5.0,7.0
dog,5.8,4.1,0,6,40.1,7.0,93.0,9.0,10.0
dog,7.9,3.6,1,1,38.5,9.7,147.5,10.0,9.0
